date,day,month,year,e_oficial,e_ppp,e_ppp_adj,e_blue,rer,rer_blue
01jul2011,1,7,2011,4.1399999,3.9370077,3.6630037,4.2749996,.95599997,.92581052
02jul2011,2,7,2011,4.1399999,3.9370077,3.6764703,4.2726655,.95999998,.93019211
03jul2011,3,7,2011,4.1399999,3.9525692,3.690037,4.2703323,.963,.93360883
04jul2011,4,7,2011,4.1399999,3.9682539,3.7037036,4.2680001,.96600002,.93702894
05jul2011,5,7,2011,4.145,3.9682539,3.7037036,4.2600002,.96799999,.94186848
06jul2011,6,7,2011,4.145,3.9525692,3.690037,4.27,.96399999,.93577987
07jul2011,7,7,2011,4.1500001,3.9682539,3.690037,4.263,.96600002,.9403941
08jul2011,8,7,2011,4.1500001,3.9682539,3.690037,4.263,.96700001,.94136763
09jul2011,9,7,2011,4.1500001,3.9682539,3.7037036,4.2619996,.96799999,.94256222
10jul2011,10,7,2011,4.1500001,3.9682539,3.7037036,4.2609997,.96799999,.94278342
11jul2011,11,7,2011,4.1500001,3.9682539,3.7037036,4.2600002,.96799999,.94300467
12jul2011,12,7,2011,4.1500001,3.9682539,3.7037036,4.27,.96899998,.94176811
13jul2011,13,7,2011,4.1500001,3.9525692,3.690037,4.2800002,.96600002,.93665886
14jul2011,14,7,2011,4.1500001,3.9682539,3.690037,4.2849998,.96200001,.93169194
15jul2011,15,7,2011,4.1500001,3.9682539,3.690037,4.2930002,.963,.93092239
16jul2011,16,7,2011,4.1500001,3.9682539,3.7037036,4.2919998,.963,.93113935
17jul2011,17,7,2011,4.1500001,3.9682539,3.7037036,4.2909994,.96399999,.93232352
18jul2011,18,7,2011,4.1500001,3.9682539,3.7037036,4.2899995,.963,.93157345
19jul2011,19,7,2011,4.1500001,3.9840639,3.7037036,4.3129997,.96499997,.92852998
20jul2011,20,7,2011,4.1599998,4,3.7174723,4.3150001,.96899998,.9341923
21jul2011,21,7,2011,4.1599998,4,3.7174723,4.3180003,.96600002,.93065298
22jul2011,22,7,2011,4.165,3.8610039,3.5971224,4.3200002,.93400002,.90048844
23jul2011,23,7,2011,4.165,3.8610039,3.5971224,4.3216662,.93400002,.9001413
24jul2011,24,7,2011,4.165,3.846154,3.5842292,4.3233328,.93099999,.89690411
25jul2011,25,7,2011,4.165,3.8314176,3.5714285,4.3250003,.92799997,.89366931
26jul2011,26,7,2011,4.165,3.8167939,3.5587189,4.3429999,.92299998,.8851704
27jul2011,27,7,2011,4.165,3.7878788,3.5335691,4.348,.917,.87840509
28jul2011,28,7,2011,4.1700001,3.7453184,3.4843206,4.3399997,.90399998,.86858988
29jul2011,29,7,2011,4.1700001,3.7453184,3.4843206,4.3399997,.90399998,.86858988
30jul2011,30,7,2011,4.1700001,3.7453184,3.4843206,4.3343258,.90499997,.87068903
