date,day,month,year,e_oficial,e_ppp,e_ppp_adj,rer
13oct2008,13,10,2008,1.4826236,1.3071896,1.0718113,.88200003
14oct2008,14,10,2008,1.4191318,1.3192612,1.081081,.92900002
15oct2008,15,10,2008,1.464397,1.3245033,1.0857763,.90499997
16oct2008,16,10,2008,1.4920222,1.331558,1.0917031,.89300001
17oct2008,17,10,2008,1.4485524,1.3458951,1.1025358,.92900002
18oct2008,18,10,2008,1.44965,1.3568522,1.1111112,.935
19oct2008,19,10,2008,1.4488499,1.3661202,1.1198208,.94400001
20oct2008,20,10,2008,1.4356323,1.3793103,1.1312218,.96100003
21oct2008,21,10,2008,1.4697578,1.3908206,1.1389521,.94599998
22oct2008,22,10,2008,1.4932345,1.396648,1.1441648,.935
23oct2008,23,10,2008,1.5033934,1.4044944,1.150748,.93400002
24oct2008,24,10,2008,1.6155246,1.4044944,1.150748,.86900002
25oct2008,25,10,2008,1.6137,1.4124293,1.1574074,.875
26oct2008,26,10,2008,1.60645,1.4204545,1.1641443,.88499999
27oct2008,27,10,2008,1.6419199,1.4245014,1.1682243,.86799997
28oct2008,28,10,2008,1.6021788,1.4367816,1.1778563,.89700001
29oct2008,29,10,2008,1.5002111,1.4556041,1.1933174,.97100002
30oct2008,30,10,2008,1.4978828,1.4662757,1.201923,.98000002
31oct2008,31,10,2008,1.5172352,1.4771049,1.2106538,.97399998
01nov2008,1,11,2008,1.5121499,1.4684289,1.2033695,.972
02nov2008,2,11,2008,1.5121499,1.459854,1.1961722,.96499997
03nov2008,3,11,2008,1.4768041,1.4556041,1.1933174,.986
04nov2008,4,11,2008,1.4340432,1.4513788,1.1890606,1.012
05nov2008,5,11,2008,1.428722,1.4430014,1.1834319,1.011
06nov2008,6,11,2008,1.4746108,1.4306152,1.1737089,.97100002
07nov2008,7,11,2008,1.4866796,1.4184397,1.1627907,.954
08nov2008,8,11,2008,1.4872,1.4285715,1.1709602,.96100003
09nov2008,9,11,2008,1.4872,1.4409221,1.1806376,.96899998
10nov2008,10,11,2008,1.4548651,1.4556041,1.1918951,1
11nov2008,11,11,2008,1.5315815,1.459854,1.1961722,.95300001
12nov2008,12,11,2008,1.5545665,1.4684289,1.2048193,.94499999
13nov2008,13,11,2008,1.5589601,1.4792899,1.2135923,.949
14nov2008,14,11,2008,1.518604,1.4970061,1.2254902,.98500001
15nov2008,15,11,2008,1.5439237,1.5060241,1.2345679,.97600001
16nov2008,16,11,2008,1.50945,1.5197569,1.2468828,1.008
17nov2008,17,11,2008,1.5404555,1.5267177,1.2515644,.99199998
18nov2008,18,11,2008,1.5300176,1.5384616,1.2610341,1.005
19nov2008,19,11,2008,1.5338697,1.545595,1.2674272,1.008
20nov2008,20,11,2008,1.6225376,1.5479876,1.2690356,.95499998
21nov2008,21,11,2008,1.6148031,1.5600625,1.2787724,.96600002
22nov2008,22,11,2008,1.5994999,1.5723271,1.2886598,.98299998
23nov2008,23,11,2008,1.58355,1.5847861,1.2987013,1
24nov2008,24,11,2008,1.5405092,1.6,1.310616,1.038
25nov2008,25,11,2008,1.5463958,1.610306,1.3192612,1.0420001
