country,date,indexCPI,monthlyCPI,annualCPI,indexPS,monthlyPS,annualPS,cid
ARGENTINA,01nov2007,100,.68276215,,100,,,ARGENTINA
ARGENTINA,02nov2007,100,.68276215,,100.26052,,,ARGENTINA
ARGENTINA,03nov2007,100,.68276215,,100.22565,,,ARGENTINA
ARGENTINA,04nov2007,100,.68276215,,100.19613,,,ARGENTINA
ARGENTINA,05nov2007,100,.68276215,,99.821159,,,ARGENTINA
ARGENTINA,06nov2007,100,.68276215,,99.965027,,,ARGENTINA
ARGENTINA,07nov2007,100,.68276215,,100.07256,,,ARGENTINA
ARGENTINA,08nov2007,100,.68276215,,100.09344,,,ARGENTINA
ARGENTINA,09nov2007,100,.68276215,,100.60484,,,ARGENTINA
ARGENTINA,10nov2007,100,.68276215,,100.51282,,,ARGENTINA
ARGENTINA,11nov2007,100,.68276215,,100.48901,,,ARGENTINA
ARGENTINA,12nov2007,100,.68276215,,100.00564,,,ARGENTINA
ARGENTINA,13nov2007,100,.68276215,,100.24912,,,ARGENTINA
ARGENTINA,14nov2007,100,.68276215,,100.32085,,,ARGENTINA
ARGENTINA,15nov2007,100,.68276215,,100.37564,,,ARGENTINA
ARGENTINA,16nov2007,100,.68276215,,100.98398,,,ARGENTINA
ARGENTINA,17nov2007,100,.68276215,,101.0086,,,ARGENTINA
ARGENTINA,18nov2007,100,.68276215,,100.9839,,,ARGENTINA
ARGENTINA,19nov2007,100,.68276215,,100.42915,,,ARGENTINA
ARGENTINA,20nov2007,100,.68276215,,100.58538,,,ARGENTINA
ARGENTINA,21nov2007,100,.68276215,,100.72713,,,ARGENTINA
ARGENTINA,22nov2007,100,.68276215,,100.7396,,,ARGENTINA
ARGENTINA,23nov2007,100,.68276215,,101.33063,,,ARGENTINA
ARGENTINA,24nov2007,100,.68276215,,101.29989,,,ARGENTINA
ARGENTINA,25nov2007,100,.68276215,,101.27979,,,ARGENTINA
ARGENTINA,26nov2007,100,.68276215,,100.59222,,,ARGENTINA
ARGENTINA,27nov2007,100,.68276215,,100.66361,,,ARGENTINA
ARGENTINA,28nov2007,100,.68276215,,100.75874,,,ARGENTINA
ARGENTINA,29nov2007,100,.68276215,,100.86154,,,ARGENTINA
ARGENTINA,30nov2007,100,.68276215,,101.71884,,,ARGENTINA
ARGENTINA,01dec2007,100.85326,.85326695,,101.74937,.63015747,,ARGENTINA
ARGENTINA,02dec2007,100.85326,.85326695,,101.74648,.54870844,,ARGENTINA
ARGENTINA,03dec2007,100.85326,.85326695,,101.2169,.54978347,,ARGENTINA
ARGENTINA,04dec2007,100.85326,.85326695,,101.46908,.58359164,,ARGENTINA
ARGENTINA,05dec2007,100.85326,.85326695,,101.53342,.71083212,,ARGENTINA
ARGENTINA,06dec2007,100.85326,.85326695,,101.57272,.78713566,,ARGENTINA
ARGENTINA,07dec2007,100.85326,.85326695,,102.40157,.86550379,,ARGENTINA
ARGENTINA,08dec2007,100.85326,.85326695,,102.28786,.93655115,,ARGENTINA
ARGENTINA,09dec2007,100.85326,.85326695,,102.26604,.93299562,,ARGENTINA
